,Date,CO
0,2004-03-10 18:00:00,1360.0
1,2004-03-10 19:00:00,1292.0
2,2004-03-10 20:00:00,1402.0
3,2004-03-10 21:00:00,1376.0
4,2004-03-10 22:00:00,1272.0
5,2004-03-10 23:00:00,1197.0
6,2004-03-11 0:00:00,1185.0
7,2004-03-11 1:00:00,1136.0
8,2004-03-11 2:00:00,1094.0
9,2004-03-11 3:00:00,1010.0
10,2004-03-11 4:00:00,1011.0
11,2004-03-11 5:00:00,1066.0
12,2004-03-11 6:00:00,1052.0
13,2004-03-11 7:00:00,1144.0
14,2004-03-11 8:00:00,1333.0
15,2004-03-11 9:00:00,1351.0
16,2004-03-11 10:00:00,1233.0
17,2004-03-11 11:00:00,1179.0
18,2004-03-11 12:00:00,1236.0
19,2004-03-11 13:00:00,1286.0
20,2004-03-11 14:00:00,1371.0
21,2004-03-11 15:00:00,1310.0
22,2004-03-11 16:00:00,1292.0
23,2004-03-11 17:00:00,1383.0
24,2004-03-11 18:00:00,1581.0
25,2004-03-11 19:00:00,1776.0
26,2004-03-11 20:00:00,1640.0
27,2004-03-11 21:00:00,1313.0
28,2004-03-11 22:00:00,965.0
29,2004-03-11 23:00:00,913.0
30,2004-03-12 0:00:00,1080.0
31,2004-03-12 1:00:00,1044.0
32,2004-03-12 2:00:00,988.0
33,2004-03-12 3:00:00,889.0
34,2004-03-12 4:00:00,831.0
35,2004-03-12 5:00:00,847.0
36,2004-03-12 6:00:00,927.0
37,2004-03-12 7:00:00,1091.0
38,2004-03-12 8:00:00,1587.0
39,2004-03-12 9:00:00,1545.0
40,2004-03-12 10:00:00,1350.0
41,2004-03-12 11:00:00,1263.0
42,2004-03-12 12:00:00,1206.0
43,2004-03-12 13:00:00,1252.0
44,2004-03-12 14:00:00,1287.0
45,2004-03-12 15:00:00,1353.0
46,2004-03-12 16:00:00,1309.0
47,2004-03-12 17:00:00,1274.0
48,2004-03-12 18:00:00,1510.0
49,2004-03-12 19:00:00,1525.0
50,2004-03-12 20:00:00,1843.0
51,2004-03-12 21:00:00,1598.0
52,2004-03-12 22:00:00,1484.0
53,2004-03-12 23:00:00,1677.0
54,2004-03-13 0:00:00,1280.0
55,2004-03-13 1:00:00,1196.0
56,2004-03-13 2:00:00,1184.0
57,2004-03-13 3:00:00,1172.0
58,2004-03-13 4:00:00,1147.0
59,2004-03-13 5:00:00,978.0
60,2004-03-13 6:00:00,1100.0
61,2004-03-13 7:00:00,1112.0
62,2004-03-13 8:00:00,1336.0
63,2004-03-13 9:00:00,1408.0
64,2004-03-13 10:00:00,1447.0
65,2004-03-13 11:00:00,1542.0
66,2004-03-13 12:00:00,1451.0
67,2004-03-13 13:00:00,1328.0
68,2004-03-13 14:00:00,1207.0
69,2004-03-13 15:00:00,1240.0
70,2004-03-13 16:00:00,1306.0
71,2004-03-13 17:00:00,1326.0
72,2004-03-13 18:00:00,1473.0
73,2004-03-13 19:00:00,1609.0
74,2004-03-13 20:00:00,1611.0
75,2004-03-13 21:00:00,1621.0
76,2004-03-13 22:00:00,1444.0
77,2004-03-13 23:00:00,1418.0
78,2004-03-14 0:00:00,1534.0
79,2004-03-14 1:00:00,1484.0
80,2004-03-14 2:00:00,1367.0
81,2004-03-14 3:00:00,1344.0
82,2004-03-14 4:00:00,1130.0
83,2004-03-14 5:00:00,1062.0
84,2004-03-14 6:00:00,1076.0
85,2004-03-14 7:00:00,1028.0
86,2004-03-14 8:00:00,1155.0
87,2004-03-14 9:00:00,1235.0
88,2004-03-14 10:00:00,1332.0
89,2004-03-14 11:00:00,1445.0
90,2004-03-14 12:00:00,1416.0
91,2004-03-14 13:00:00,1281.0
92,2004-03-14 14:00:00,1207.0
93,2004-03-14 15:00:00,1258.0
94,2004-03-14 16:00:00,1458.0
95,2004-03-14 17:00:00,1438.0
96,2004-03-14 18:00:00,1478.0
97,2004-03-14 19:00:00,1808.0
98,2004-03-14 20:00:00,1898.0
99,2004-03-14 21:00:00,1560.0
100,2004-03-14 22:00:00,1324.0
